a52dec 0.7.4-11
accounts-qml-module 0.7-4
accountsservice 0.6.55-3
acl 2.3.1-1
acorn 1:8.4.1-1
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adwaita-creamy-gtk-theme 3.24.10-1
adwaita-dark-darose 3.28-3
adwaita-graphene-gtk-theme 20160212-1
adwaita-icon-theme 40.1.1-1
aic94xx-firmware 30-9
alsa-card-profiles 1:0.3.33-1
alsa-lib 1.2.5.1-3
alsa-plugins 1:1.2.5-2
alsa-topology-conf 1.2.5.1-1
alsa-ucm-conf 1.2.5.1-1
alsa-utils 1.2.5.1-1
aom 3.1.2-1
apparmor 3.0.3-1
appstream 0.14.4-1
appstream-glib 0.7.18-2
arandr 0.1.10-6
arc-gtk-theme 20210412-1
arch-install-scripts 24-2
archlinux-appstream-data-pamac 20210723-1
archlinux-keyring 20210820-1
arcolinux-betterlockscreen-git 21.08-03
arcolinux-bspwm-git 21.07-01
arcolinux-config-all-desktops-git 21.07-01
arcolinux-dconf-all-desktops-git 21.07-01
arcolinux-grub-theme-vimix-git 20200928-1
arcolinux-gtk3-sardi-arc-git 21.07-01
arcolinux-local-xfce4-git 21.07-01
arcolinux-logout-git 21.08-03
arcolinux-logout-themes-git 21.08-01
arcolinux-meta-logout 21.07-01
arcolinux-mirrorlist-git 21.08-01
arcolinux-neofetch-git 21.07-01
arcolinux-paru-git 21.07-01
arcolinux-polybar-git 21.07-01
arcolinux-rofi-git 21.07-01
arcolinux-rofi-themes-git 21.07-01
arcolinux-root-git 21.08-08
arcolinux-systemd-services-git 21.08-05
arcolinux-tweak-tool-git 21.08-29
arcolinux-volumeicon-git 21.07-01
arcolinux-wallpapers-git 21.07-01
arcolinux-welcome-app-git 21.08-05
arcolinux-xfce-git 21.08-01
arcolinuxd-system-config-git 21.08-29
ardis-icon-theme-circle 1.2-0
argon2 20190702-3
asciinema 2.0.2-5
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.3-1
atk 2.36.0-1
atkmm 2.28.2-2
atomicparsley 20210715.151551.e7ad03a-1
atool 0.39.0-7
attr 2.5.1-1
audacious 4.1-3
audacious-plugins 4.1-4
audiofile 0.3.6-6
audit 3.0.4-1
autoconf 2.71-1
automake 1.16.4-1
avahi 0.8+20+gd1e71b3-1
awesome-terminal-fonts 1.1.0-4
ayatana-ido 0.8.2-1
babl 0.1.86-1
base 2-2
bash 5.1.008-1
bash-completion 2.11-2
bash-language-server 2.0.0-2
bat 0.18.2-1
bc 1.07.1-4
betterlockscreen-git r167.9260018-1
bibata-cursor-theme-bin 1.1.2-1
bind 9.16.20-1
binutils 2.36.1-3
bison 3.7.6-1
bitwarden-bin 1.28.1-1
blas 3.10.0-1
bleachbit 4.4.0-1
blueman 2.2.2-1
bluez 5.60-1
bluez-libs 5.60-1
bluez-plugins 5.60-1
bluez-tools 0.2.0-5
bluez-utils 5.60-1
boost-libs 1.76.0-1
box2d 2.4.1-1
bpytop 1.0.67-1
brave-bin 1:1.28.106-1
broadcom-wl 6.30.223.271-319
brotli 1.0.9-4
bspwm 0.9.10-1
btrfs-progs 5.13.1-1
bubblewrap 0.4.1-2
bzip2 1.0.8-4
c-ares 1.17.2-1
ca-certificates 20210603-1
ca-certificates-mozilla 3.69-1
ca-certificates-utils 20210603-1
caffeine 2.9.8-1
cairo 1.17.4-5
cairomm 1.14.3-2
cantarell-fonts 1:0.301-1
cblas 3.10.0-1
cdparanoia 10.2-8
celt 0.11.3-4
chaotic-keyring 20210617-1
chaotic-mirrorlist 20210716-1
checkbashisms 2.20.5-1
chromaprint 1.5.0-3
cifs-utils 6.13-2
clang 12.0.1-1
clonezilla 3.35.2-3
clucene 2.3.3.4-11
cmake 3.21.1-1
cmatrix 2.0-2
colord 1.4.5-4
colord-sane 1.4.5-4
compiler-rt 12.0.1-2
confuse 3.3-3
copyq 4.1.0-1
coreutils 8.32-1
cracklib 2.9.7-2
crda 4.14-4
cronie 1.5.7-2
cryptsetup 2.4.0-1
ctags 1:r20210106+g08b1c490-1
cups 1:2.3.3op2-3
cups-filters 1.28.9-1
cups-pdf 3.0.1-6
curl 7.78.0-1
darkhttpd 1.13-1
dash 0.5.11.4-1
dav1d 0.9.1-1
