a52dec 0.7.4-11
aalib 1.4rc5-14
accountsservice 0.6.55-3
acl 2.3.1-1
acpi 1.7-3
acpid 2.0.32-2
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adobe-source-han-sans-cn-fonts 2.003-1
adobe-source-han-sans-jp-fonts 2.003-1
adobe-source-han-sans-kr-fonts 2.003-1
adobe-source-sans-pro-fonts 3.028-1
adwaita-icon-theme 40.1.1-1
alsa-card-profiles 1:0.3.28-1
alsa-firmware 1.2.4-2
alsa-lib 1.2.4-3
alsa-oss 1.1.8-3
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.4-2
alsa-ucm-conf 1.2.4-2
alsa-utils 1.2.4-2
android-tools 31.0.0-3
android-udev 20210501-1
aom 3.1.0-1
apparmor 3.0.1-3
appstream-glib 0.7.18-2
arc-dark-xfce4-terminal 1-2
archlinux-appstream-data 20210423-1
archlinux-keyring 20210110-1
argon2 20190702-3
asciidoc 9.1.0-1
at-spi2-atk 2.38.0-1
at-spi2-core 2.40.1-1
atk 2.36.0-1
atkmm 2.28.2-2
atool 0.39.0-7
attr 2.5.1-1
audacious 4.1-3
audacious-plugins 4.1-3
audit 3.0.1-1
autoconf 2.71-1
automake 1.16.3-1
avahi 0.8+20+gd1e71b3-1
b43-fwcutter 019-3
babl 0.1.86-1
bash 5.1.008-3
bash-completion 2.11-2
bashrc-manjaro 5.1.008-3
bat 0.18.1-1
bc 1.07.1-4
binutils 2.36.1-3
bison 3.7.6-1
blas 3.9.1-1
blueman 2.1.4-1
bluez 5.58-1
bluez-libs 5.58-1
boost-libs 1.75.0-3
botan 2.18.1-1
brave 1.25.68-1
brotli 1.0.9-4
btrfs-progs 5.12.1-1
bubblewrap 0.4.1-2
bzip2 1.0.8-4
c-ares 1.17.1-1
ca-certificates 20181109-4
ca-certificates-mozilla 3.66-1
ca-certificates-utils 20181109-4
cairo 1.17.4-5
cairomm 1.14.3-2
cantarell-fonts 1:0.301-1
catfish 4.16.0-4
cdparanoia 10.2-8
ceph-libs 15.2.12-1
chromaprint 1.5.0-3
cifs-utils 6.13-2
ckbcomp 1.194-1
cmake 3.20.3-1
colord 1.4.5-1
colord-sane 1.4.5-1
confuse 3.3-3
coreutils 8.32-1
cpupower 5.12-1
crda 4.14-4
cronie 1.5.7-2
cryptsetup 2.3.6-1
cups 1:2.3.3op2-3
cups-filters 1.28.8-1
cups-pdf 3.0.1-6
cups-pk-helper 0.2.6-4
curl 7.77.0-1
dash 0.5.11.3-1
dashbinsh 0.1-5
dav1d 0.9.0-1
db 5.3.28-5
dbus-glib 0.112-1
dbus-python 1.2.16-4
dbus-x11 1.12.20-1
dconf 0.40.0-1
desktop-file-utils 0.26-1
device-mapper 2.03.12-1
dhclient 4.4.2.P1-1
dhcpcd 9.4.0-1
dia 0.97.3-6
diffutils 3.7-3
ding-libs 0.6.1-3
djvulibre 3.5.28-3
dmidecode 3.3-1
dmraid 1.0.0.rc16.3-13
dnsmasq 2.85-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dosfstools 4.2-1
double-conversion 3.1.5-2
e2fsprogs 1.46.2-1
easytag 2.4.3-4
ecryptfs-utils 111-4
efibootmgr 17-2
efivar 37-4
electron 12.0.9-1
elfutils 0.184-1
enchant 2.2.15-2
engrampa 1.24.2-1
etcher 1.5.120-1
exa 0.10.1-1
exfat-utils 1.3.0-2
exiv2 0.27.3-1
exo 4.16.2-1
expat 2.4.1-1
f2fs-tools 1.14.0-1
faac 1.30-2
faad2 2.10.0-1
fakeroot 1.25.3-2
fasd 1.0.1-3
fd 8.2.1-1
ffmpeg 2:4.4-3
ffmpegthumbnailer 2.2.2-2
fftw 3.3.9-1
file 5.40-5
filesystem 2021.01.19-1
findutils 4.8.0-1
firefox 89.0-1
flac 1.3.3-3
flameshot 0.9.0-1
flatpak 1.11.1-1
flex 2.6.4-3
fluidsynth 2.1.8-1
fmt 7.1.3-1
font-manager 0.8.6-1
fontconfig 2:2.13.93-4
foomatic-db 3:20210528-1
foomatic-db-engine 4:20200206-1
foomatic-db-gutenprint-ppds 5.3.4-1
freeglut 3.2.1-2
freetype2 2.10.4-1
fribidi 1.0.10-1
fuse-common 3.10.3-1
fuse2 2.9.9-4
fuse3 3.10.3-1
galculator-gtk2 2.1.4-5
game-devices-udev 0.13-1
garcon 4.16.1-1
gawk 5.1.0-1
gc 8.0.4-4
gcab 1.4-1
gcc 11.1.0-1
gcc-libs 11.1.0-1
gcolor2 0.4-9
